state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
Assam,Dilbrugarh,Acute,30,1.0,12-12-17,,Under surveillance,"Cases reported from Village Chakia Chapori, PHC/Block Lahoal. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given. Diarhoeal Disease"
Bihar,Buxar,Suspected Measles,23,0.0,18-12-17,,Under surveillance,"Cases reported from Village Babhani, SC Boksa, PHC Buxar, Block Buxar. District RRT investigated the outbreak. House to house survey done. 5 serum samples collected and sent to PMCH; result awaited. All the cases were between 3-5yrs of age group. All cases treated symptomatically. Health education given."
Bihar,Saran,Suspected Measles,20,3.0,10-12-17,,Under surveillance,"Cases reported from Village Samhauta, Post Samhauta, Block Jalalpur. District RRT investigated the outbreak. House to house survey done. Blood Serum samples collected sent to PMCH Patna; result awaited. All the cases were between 4- 10yrs of age group. All cases treated symptomatically. Health education given."
Haryana,Nuh,Suspected Measles,22,0.0,19-12-17,,Under control,"Cases reported from Village Bichor, SC Bichor, PHC Singar. District RRT investigated the outbreak. House to house survey done. 05 blood and 01 Urine samples collected sent to NCDC Delhi; result awaited. All cases treated symptomatically. Health education given."
Maharashtra,Sangli,Chickungunya,13,0.0,13-12-17,,Under control,"Cases reported from Village/SC Shetfale, PHC Kargani, Block Atpadi. District RRT investigated the outbreak. House to house survey done. Out of 13 blood serum samples collected and sent to Sentinal Laboratory Govt. Medical College Miraj; 6 samples were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given."
Maharashtra,Thane,Japanese Encephalitis,7,0.0,18-12-17,,Under surveillance,"Cases reported from Village Ajiwaali, UHP Mahape Navi Mumbai Municipal Corporation. District RRT investigated the outbreak. House to house survey done. 01 sample collected and tested at NIV, Pune was positive for JE (IgM ELISA). Health camp organized in the school and all cases treated symptomatically. Health education given."
Maharashtra,Washim,Measles,6,0.0,16-12-17,,Under control,"Cases reported from Village Waghibk, PHC Shirpur, Taluk Malegaon. District RRT investigated the outbreak. House to house survey done. All 05 serum samples collected sent to NIV, Pune were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given."
Odisha,Jajpur,Chickenpox,27,0.0,14-12-17,,Under,"Cases of fever with rash reported from Village Asanabahali, SC Pankpal. District RRT investigated the outbreak. House to control house survey done. All cases treated symptomatically. Health education given."
Telangana,Mahaboobnagar,Chikungunya,39,0.0,17-08-17,,Under control,"Cases reported from Village Hemajiipur SC Pedda Revally, PHC Balanagar. District RRT investigated the outbreak. House to house survey done. All 23 blood smears were found negative for malaria parasite. Out of 15 blood samples collected; 02 samples were positive for Chikungunya. All cases treated symptomatically. Health education given."
Assam,Dibrugarh,Food Poisoning,62.0,0.0,02-01-18,04-01-18,Under Control,"Cases reported from Village Gerekoni Gaon, PHC & Block Naharani. District RRT investigated the outbreak. House to house survey done. All 04 rectal swabs collected were found negative for cholera culture. 02 water samples collected were found potable. Health camp organized and all cases treated symptomatically. Health education given."
Assam,Kamrup Metro,Chickenpox,8.0,0.0,29-12-17,03-01-18,Under Control,Cases reported from Village Dakhingaon SD Lakhara. District RRT investigated the outbreak. House to house survey done. All 02 blood samples collected were found positive for chickenpox (IgM ELISA). All cases treated symptomatically. Health education given.
Bihar,Nawada,Measles?,7.0,0.0,29-12-17,04-01-18,Under Control,"Cases reported from Village Baratpura, Block/PHC Sadar. District RRT investigated the outbreak. House to house survey done. Majority of cases were below 15yrs of age group. Vitamin A supplementation given to all children of 0-15 yrs. Cases treated symptomatically. Health education given."
Jharkhand,Godda,Measles?,15.0,0.0,06-01-18,06-01-18,Under Control,"Cases of fever with maculopapular rash cough reported from Village Digghi, PHC Mahagama. District RRT investigated the outbreak. House to house survey done. 5 blood sample were collected and sent to Institute of Serology, Kolkata for Measles; result awaited. All cases treated symptomatically. Health education given."
Karnataka,Tumakur,Chickenpox,16.0,0.0,02-01-18,02-01-18,Under Control,"Cases reported from Village Beedhi Nitturu, PHC Basaveshvara, Block Gubbi. District RRT investigated the outbreak. House to house survey done. All 02 serum samples collected were found positive for chickenpox. Isolation of active cases. All cases treated symptomatically. Health education given."
Karnataka,Kalaburagi,Chikungunya,55.0,0.0,02-01-18,03-01-18,Under Surveillance,"Cases fever with joint pains reported from Village Bedakpalli, PHC/CHC Sulepet. District RRT investigated the outbreak. House to house fever survey done. Out of 12 blood samples sent to SSL, Gulbarga; 5 samples were positive for Chikungunya (IgM ELISA).Larva survey and source reduction activities done. Temporary clinic were established at the area. Fogging done. IEC & Health Education activities carried out."
Kerala,Trivandrum,Acute Diarrheal Disease,21.0,0.0,03-01-18,04-01-18,Under Control,"Cases of loose motion reported from Village Karumkulam, SC Puthiyathura PHC Pulluvila. District RRT and Block team investigated the outbreak. 3 stool samples collected sent to Microbiology Lab, MCH, TVM; result awaited. Water samples taken from both (bore well water and water from the lake); result awaited. Chlorination of water source done and ORS packets distributed. Medical camp organized. Health education conducted."
Maharashtra,Gadchiroli,Malaria,13.0,1.0,31-12-17,02-01-18,Under Control,"Cases reported from Village/PHC Regadi, Block Chamorshi. District RRT investigated the outbreak. House to house fever survey done. The entire 13 blood smears were found positive for malaria (Pf). One death occurred in an 18yr old male who was found positive for malaria (Pf). All cases treated locally. Source reduction activities undertaken. Health education given."
Maharashtra,Nagpur,Measles,5.0,0.0,29-12-17,03-01-18,Under Control,"Cases reported from Village Mallak Nagar, Block Umred. District RRT investigated the outbreak. House to house survey done. Majority of cases were below 15yrs of age. Vitamin A supplementation given. All 04 serum samples were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given."
Maharashtra,Ratnagiri,Hepatitis A,177.0,0.0,01-01-18,01-01-18,Under Surveillance,"Cases reported from Khed (Urban). District RRT investigated the outbreak. House to house survey done. Out of 20 blood samples sent NIV, Pune;4 samples were found positive for HAV (IgM ELISA). 4 stool samples were sent to NIV, Pune were found positive for HAV. All cases treated symptomatically. Chlorination done. Health education given."
Uttar Pradesh,Aligarh,Measles?,9.0,0.0,01-01-18,03-01-18,Under Control,"Cases reported from Village Peepal Block Khair,. District RRT investigated the outbreak. House to house survey done. 05 blood sample had been taken and sent to SGPGI, Lucknow; result awaited. All cases treated symptomatically. Health education given."
Uttar Pradesh,Fatehpur,Chickenpox,11.0,0.0,29-12-17,01-01-18,Under Surveillance,"Cases reported from Village Pamrauli, Block Bahua, CHC Gazipur. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given."
Uttar Pradesh,Mahoba,Measles?,19.0,0.0,02-01-18,03-01-18,Under Control,"Cases reported from Village Supa, Block Charkhari CHC Kulpahar. District RRT investigated the outbreak. House to house survey done. 05 blood samples collected; result awaited. All cases treated symptomatically. Health education given."
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,58.0,0.0,24-12-17,,Under Control,"Cases reported from Village Kanchibandarla Palli, PHC Gudupalli. District RRT investigated the outbreak. House to house survey done. Pipeline leakages were observed in the community. 3 water samples collected and sent to District Public Health Laboratory Tirupati; result awaited. All cases treated symptomatically. Health education given."
Assam,Lakhimpur,Fever,47.0,0.0,19-12-17,,Under Control,"Cases reported from Village Na-Ali, Thekaraguri PHC Chauldhuwa, Block Boginadi. District RRT investigated the outbreak. House to house survey done. All 27 blood samples were found negative for malarial infection (RD kit). All cases treated symptomatically. Health education given."
Bihar,Nawada,Measles?,12.0,0.0,03-12-17,,Under Control,Cases reported from Village Bhalua Block/PHC Sirdala. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.
Bihar,Nawada,Measles?,5.0,0.0,23-12-17,,Under Control,"Cases reported from Village Koshitola, Block/PHC Roah. District RRT investigated the outbreak. House to house survey done. All the cases were below 9yr of age. 5 blood sample collected andsent to PMCH Patna; result awaited. All cases treated symptomatically. Health education given."
Bihar,Shekhpura,Chickenpox,20.0,0.0,22-12-017,,Under Control,"Cases reported from Village Lodipur, Block/PHC Sheikhpura. District RRT investigated the outbreak. House to house survey done. All the affected cases were below 12yrs of age. All cases treated symptomatically. IEC activity done regarding personal hygiene and isolation of cases."
Chhatisgarh,Bijapur,Measles?,5.0,0.0,05-12-17,,Under Control,"Cases reported from Village/PHC Matwada, Block Bhairamgarh. District RRT investigated the outbreak. House to house survey done. Vitamin A supplementation given. All cases treated symptomatically. Health education given."
Maharashtra,Satara,Chikungunya,9.0,0.0,17-11-17,,Under Control,"Cases reported from Village/Block/PHC/SC Wai. District RRT investigated the outbreak. House to house survey done. 04 serum samples tested send to NIV, Pune; 3 samples were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given."
Maharashtra,Satara,Dengue,40.0,0.0,04-12-17,,Under Surveillance,"Cases reported from Village Nimbalk, SC Mathachiwadi, PHC Rajale, Block Phalatan. District RRT investigated the outbreak. House to house survey done. Out of 11 serum samples were collected sent to NIV, Pune; 6 samples were found positive for Dengue (IgM ELISA). All cases treated symptomatically. Source reduction activities undertaken. Health education given."
Mizoram,Aizawl East,Scrub typhus?,81.0,1.0,,,Under Surveillance,"26.12.17 Cases reported from Village Phullen. State RRT investigated the outbreak. Since August 2017 to January 2018, a total of 81 cases and 1 death were reported from the affected area. A total of 4 villages were affected; Village Phullen (54 cases & 1 death), Thanglailung (5 cases), Luangpawn (20 cases) and Zawngin (2 cases). An increase in number of cases was observed in the month of December 2017 (40 cases, December 17 and 10 cases in Jan 2018). Eschar manifestation were not reportedly observed among the cases. Environmental studies were conducted and rodent infestations were observed in the surveyed area. All cases were treated and cases were followed up at their houses. All the 81 samples were tested by Rapid Test kits (SD Bioline, Tsutsugamushi kit). Health awareness campaign regarding scrub typhus was organized at Community Hall, Phullen."
